,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
158,09/07/2020,9,7,2020,59,1,Afghanistan,AF,AFG,38041757.0,Asia
159,08/07/2020,8,7,2020,210,16,Afghanistan,AF,AFG,38041757.0,Asia
160,07/07/2020,7,7,2020,433,56,Afghanistan,AF,AFG,38041757.0,Asia
161,06/07/2020,6,7,2020,279,38,Afghanistan,AF,AFG,38041757.0,Asia
162,05/07/2020,5,7,2020,348,7,Afghanistan,AF,AFG,38041757.0,Asia
163,04/07/2020,4,7,2020,302,12,Afghanistan,AF,AFG,38041757.0,Asia
164,03/07/2020,3,7,2020,186,33,Afghanistan,AF,AFG,38041757.0,Asia
165,02/07/2020,2,7,2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia
166,01/07/2020,1,7,2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia
167,30/06/2020,30,6,2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia
168,29/06/2020,29,6,2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia
169,28/06/2020,28,6,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia
170,27/06/2020,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia
171,26/06/2020,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia
172,25/06/2020,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia
173,24/06/2020,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia
174,23/06/2020,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia
175,22/06/2020,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia
176,21/06/2020,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia
177,20/06/2020,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia
178,19/06/2020,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia
179,18/06/2020,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia
180,17/06/2020,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia
181,16/06/2020,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia
182,15/06/2020,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia
183,14/06/2020,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia
184,13/06/2020,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia
185,12/06/2020,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia
186,11/06/2020,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia
187,10/06/2020,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia
188,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia
189,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia
190,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia
191,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia
192,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia
193,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia
194,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia
195,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia
196,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia
197,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia
198,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia
